,Num_Cashiers,Num_Servers,Num_Ushers,Average_Wait_Minutes,Average_Wait_Seconds,Total_Wait_Time_Minutes
109,1,13,2,43,1,43.016666666666666
110,1,13,3,41,54,41.9
111,1,13,4,44,23,44.38333333333333
112,1,13,5,41,20,41.333333333333336
113,1,13,6,44,13,44.21666666666667
114,1,13,7,44,52,44.86666666666667
115,1,13,8,42,11,42.18333333333333
116,1,13,9,43,29,43.483333333333334
117,1,14,1,43,24,43.4
118,1,14,2,41,59,41.983333333333334
119,1,14,3,44,23,44.38333333333333
120,1,14,4,42,1,42.016666666666666
121,1,14,5,42,50,42.833333333333336
122,1,14,6,38,49,38.81666666666667
123,1,14,7,45,12,45.2
124,1,14,8,42,34,42.56666666666667
125,1,14,9,39,29,39.483333333333334
126,1,15,1,43,32,43.53333333333333
127,1,15,2,42,17,42.28333333333333
128,1,15,3,42,57,42.95
129,1,15,4,43,8,43.13333333333333
130,1,15,5,41,47,41.78333333333333
131,1,15,6,42,55,42.916666666666664
132,1,15,7,42,23,42.38333333333333
133,1,15,8,38,55,38.916666666666664
134,1,15,9,39,55,39.916666666666664
135,1,16,1,41,47,41.78333333333333
136,1,16,2,42,47,42.78333333333333
137,1,16,3,41,24,41.4
138,1,16,4,41,21,41.35
139,1,16,5,41,10,41.166666666666664
140,1,16,6,41,37,41.61666666666667
141,1,16,7,40,38,40.63333333333333
142,1,16,8,39,32,39.53333333333333
143,1,16,9,44,46,44.766666666666666
144,1,17,1,43,10,43.166666666666664
145,1,17,2,43,49,43.81666666666667
146,1,17,3,41,42,41.7
147,1,17,4,44,38,44.63333333333333
148,1,17,5,40,35,40.583333333333336
149,1,17,6,45,36,45.6
150,1,17,7,41,45,41.75
151,1,17,8,39,38,39.63333333333333
152,1,17,9,41,54,41.9
153,1,18,1,42,30,42.5
154,1,18,2,42,56,42.93333333333333
155,1,18,3,42,19,42.31666666666667
156,1,18,4,42,58,42.96666666666667
157,1,18,5,40,29,40.483333333333334
158,1,18,6,43,55,43.916666666666664
159,1,18,7,41,8,41.13333333333333
160,1,18,8,40,16,40.266666666666666
161,1,18,9,41,36,41.6
162,1,19,1,42,23,42.38333333333333
163,1,19,2,42,57,42.95
164,1,19,3,42,7,42.11666666666667
165,1,19,4,41,28,41.46666666666667
166,1,19,5,45,7,45.11666666666667
167,1,19,6,41,17,41.28333333333333
168,1,19,7,42,17,42.28333333333333
169,1,19,8,45,34,45.56666666666667
170,1,19,9,41,23,41.38333333333333
171,2,1,1,39,7,39.11666666666667
172,2,1,2,38,22,38.36666666666667
173,2,1,3,38,38,38.63333333333333
174,2,1,4,37,42,37.7
175,2,1,5,37,6,37.1
176,2,1,6,39,9,39.15
