,Num_Cashiers,Num_Servers,Num_Ushers,Average_Wait_Minutes,Average_Wait_Seconds
358,3,2,8,34,56
359,3,2,9,35,11
360,3,3,1,34,47
361,3,3,2,34,6
362,3,3,3,34,24
363,3,3,4,32,44
364,3,3,5,32,52
365,3,3,6,35,57
366,3,3,7,33,21
367,3,3,8,33,6
368,3,3,9,33,9
369,3,4,1,36,30
370,3,4,2,33,34
371,3,4,3,35,14
372,3,4,4,33,18
373,3,4,5,34,33
374,3,4,6,32,55
375,3,4,7,32,48
376,3,4,8,33,8
377,3,4,9,34,44
378,3,5,1,33,33
379,3,5,2,35,6
380,3,5,3,34,23
381,3,5,4,33,23
382,3,5,5,33,45
383,3,5,6,32,15
384,3,5,7,34,24
385,3,5,8,35,5
386,3,5,9,34,15
387,3,6,1,33,40
388,3,6,2,34,6
389,3,6,3,33,57
390,3,6,4,33,38
391,3,6,5,33,1
392,3,6,6,32,17
393,3,6,7,33,59
394,3,6,8,33,27
395,3,6,9,33,21
396,3,7,1,33,10
397,3,7,2,33,19
398,3,7,3,32,29
399,3,7,4,30,39
400,3,7,5,33,39
401,3,7,6,33,16
402,3,7,7,33,5
403,3,7,8,33,50
404,3,7,9,35,12
405,3,8,1,34,23
406,3,8,2,32,26
407,3,8,3,33,40
408,3,8,4,33,58
409,3,8,5,33,35
410,3,8,6,32,27
411,3,8,7,31,49
412,3,8,8,33,41
413,3,8,9,34,22
414,3,9,1,33,53
415,3,9,2,33,9
416,3,9,3,32,43
417,3,9,4,34,7
418,3,9,5,34,20
419,3,9,6,34,26
420,3,9,7,34,22
421,3,9,8,33,24
422,3,9,9,32,50
423,3,10,1,33,30
424,3,10,2,33,23
425,3,10,3,33,8
426,3,10,4,33,51
427,3,10,5,33,2
428,3,10,6,32,24
429,3,10,7,32,16
430,3,10,8,32,7
431,3,10,9,30,16
432,3,11,1,35,25
433,3,11,2,32,55
434,3,11,3,31,53
435,3,11,4,35,18
436,3,11,5,33,3
437,3,11,6,34,57
438,3,11,7,34,36
439,3,11,8,32,23
440,3,11,9,33,17
441,3,12,1,34,52
442,3,12,2,33,58
443,3,12,3,31,21
444,3,12,4,31,58
445,3,12,5,34,53
