"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1058",18.782143,18.998928,18.757143,18.978571,209647200,16.831499
"1059",19.009287,19.151428,18.892857,18.973572,224756000,16.827068
"1060",18.924643,19.02393,18.833929,18.882143,208398400,16.745987
"1061",18.997499,19.0625,18.797501,19.031071,374046400,16.878063
"1062",19.229286,19.303572,19.109285,19.256786,355700800,17.078245
"1063",19.339287,19.491072,19.27107,19.463928,282293200,17.261953
"1064",19.518572,19.607143,19.245001,19.277857,299768000,17.096928
"1065",19.286428,19.339287,19.111429,19.195,222031600,17.023451
"1066",19.225714,19.247856,19.080357,19.173571,200564000,17.00444
"1067",19.258215,19.314644,19.140356,19.169287,168669200,17.00065
"1068",19.205713,19.352501,19.170357,19.344643,200760000,17.156158
"1069",19.370714,19.41,19.295,19.376785,180420800,17.184669
"1070",19.335358,19.375,19.201429,19.2425,162344000,17.065578
"1071",19.278929,19.285713,18.949286,18.99357,275251200,16.844803
"1072",18.857857,18.960714,18.638929,18.695356,289850400,16.58033
"1073",18.756786,18.790001,18.525,18.694286,243888400,16.579378
"1074",18.665714,18.946072,18.643572,18.940001,206169600,16.797298
"1075",18.952856,19.008572,18.684643,18.695715,239652000,16.580648
"1076",18.535713,18.672501,18.469286,18.557501,271717600,16.458073
"1077",18.639286,18.648571,18.471786,18.63143,205674000,16.523634
"1078",18.581072,18.629999,18.261786,18.498571,266490000,16.405804
"1079",18.501785,18.610357,18.362143,18.536072,214765600,16.439066
"1080",18.571428,18.848572,18.542856,18.747856,284334400,16.626886
"1081",18.762142,19.004999,18.712856,18.970358,182548800,16.824217
"1082",18.868214,18.993929,18.803572,18.989286,202563200,16.840998
"1083",18.895,18.968929,18.730356,18.741072,394940000,16.620876
"1084",20.293215,20.357143,20.026072,20.2775,759911600,17.98349
"1085",20.161785,20.428213,20.14143,20.42643,390275200,18.115559
"1086",20.457144,21.276787,20.448214,21.217501,669485600,18.817142
"1087",21.205,21.285,21.053928,21.154642,337377600,18.761396
"1088",21.165714,21.408215,21.064285,21.074642,456640800,18.690447
"1089",21.142857,21.242857,20.941429,21.124287,244048000,18.734478
"1090",21.155001,21.22143,21.061071,21.16357,191514400,18.769306
"1091",21.076429,21.464287,21.071428,21.462856,287067200,19.03474
"1092",21.492857,21.586071,21.22893,21.22893,374564400,18.827276
"1093",21.258928,21.331785,20.990356,21.154642,282864400,18.761396
"1094",21.008928,21.22893,20.942858,20.999643,230297200,18.727957
"1095",20.876429,20.9375,20.72607,20.912144,291597600,18.649918
"1096",20.981787,21.202143,20.978571,21.172501,213208800,18.882107
"1097",21.142857,21.23357,21.09643,21.205713,159737200,18.91173
"1098",21.158215,21.335714,21.133572,21.209642,166404000,18.915234
"1099",21.239286,21.307142,21.001429,21.029285,230846000,18.754385
"1100",21.022499,21.340357,20.907143,21.339643,276256400,19.031174
"1101",21.351786,21.690357,21.333214,21.592501,317755200,19.256678
"1102",21.589643,21.657143,21.454643,21.596786,234836000,19.260498
"1103",21.565357,21.667856,21.502144,21.653929,196859600,19.311464
"1104",21.664286,21.780357,21.575001,21.688213,200760000,19.342033
"1105",21.6875,21.954643,21.659643,21.933214,232209600,19.56053
"1106",21.995714,22.352142,21.986786,22.343929,348866000,19.926819
"1107",22.357857,22.493929,22.277857,22.286072,315481600,19.875219
"1108",22.423214,22.745358,22.420357,22.692142,376474000,20.237358
"1109",22.785,23.006071,22.460714,22.607143,564020800,20.161558
"1110",22.64143,22.672501,22.232143,22.451786,369350800,20.023005
"1111",22.445,22.812143,22.4375,22.769285,292709200,20.306152
"1112",22.765715,23.138929,22.718214,23.029285,335482000,20.538027
"1113",23.078571,23.191786,22.950357,23.119642,303805600,20.618608
"1114",23.210714,23.259287,23.016787,23.05607,349938400,20.56192
"1115",23.174999,23.469999,22.9375,23.424999,301660000,20.890942
"1116",23.682501,23.762501,23.3925,23.5625,251108000,21.013565
"1117",23.532499,23.690001,23.3675,23.465,182724000,20.926611
"1118",23.51,23.530001,22.975,23.0725,218996000,20.576571
"1119",23.049999,23.110001,22.719999,22.82,218100000,20.351387
"1120",22.877501,23.1875,22.862499,23.049999,142244000,20.556503
"1121",23.077499,23.174999,22.950001,23.02,118904000,20.529757
"1122",23.067499,23.0725,22.8375,23.045,134056000,20.552055
"1123",23.0725,23.075001,22.834999,22.965,142112000,20.480701
"1124",22.9625,23.137501,22.725,22.727501,403592000,20.268894
"1125",22.83,22.905001,22.65,22.7075,174776000,20.251055
"1126",22.6875,22.934999,22.547501,22.57,156144000,20.128433
"1127",22.5525,22.674999,22.4125,22.59,147476000,20.146269
"1128",22.592501,22.762501,22.450001,22.725,130516000,20.266665
"1129",22.705,23,22.692499,22.995001,256116000,20.507454
"1130",23.025,23.432501,23.022499,23.2325,197929200,20.719263
"1131",23.379999,23.5175,23.282499,23.379999,152892000,20.850805
"1132",23.467501,23.514999,23.272499,23.370001,113860000,20.841888
"1133",23.4175,23.525,23.299999,23.5075,91567200,20.964518
"1134",23.535,23.997499,23.525,23.9925,225872000,21.397055
"1135",24.067499,24.200001,23.48,23.8375,260888000,21.258812
"1136",23.860001,23.987499,23.690001,23.8475,145744000,21.267731
"1137",23.440001,23.887501,23.379999,23.76,158744000,21.189699
"1138",23.84,23.9725,23.715,23.805,136072000,21.229834
"1139",23.965,24.2225,23.9125,24.112499,171240000,21.504072
"1140",24.200001,24.2125,23.7575,23.83,181911600,21.252119
"1141",24.2425,24.275,23.684999,23.695,213585200,21.131723
"1142",23.7575,23.82,23.1425,23.272499,229192000,20.754938
"1143",23.405001,23.684999,23.254999,23.6075,199952000,21.053698
"1144",23.747499,23.75,23.43,23.485001,156316000,20.944447
"1145",23.67,23.7225,23.530001,23.68,220788000,21.118349
