,ORDER_ID,PRODUCT_ID,PAYMENT_METHOD,TOTAL_VALUE,CREATED_AT,STORE_TO_USER_DISTANCE,OBSF_USER_ID,OBSF_STORE_TYPE
1871,35399216,2090261149,cash,0.0,2019-04-15 18:04:56+00:00,3181.0,3521,1
1872,35407487,2090261149,cash,197.95,2019-04-16 10:35:23+00:00,1801.0,4687,1
1873,35402900,2090261150,cc,6537.0,2019-04-15 20:27:16+00:00,2386.0,3850,3
1874,35407075,2090261673,cc,16000.0,2019-04-16 08:53:01+00:00,4441.0,10520,37
1875,35417078,2090261701,cc,16400.0,2019-04-16 19:49:24+00:00,1573.0,9168,16
1876,35418852,2090261702,cash,2900.0,2019-04-16 20:45:11+00:00,2018.0,5825,16
1877,35414849,2090261988,cc,9090.0,2019-04-16 18:25:15+00:00,786.0,263,4
1878,35402339,2090261988,cash,5090.0,2019-04-15 20:09:12+00:00,1705.0,14556,4
1879,35404751,2090261988,cc,8090.0,2019-04-15 21:30:24+00:00,1738.0,3912,16
1880,35397468,2090261988,cash,5090.0,2019-04-15 16:13:22+00:00,1984.0,14562,4
1881,35414755,2090261988,cash,5090.0,2019-04-16 18:20:30+00:00,952.0,11867,4
1882,35401524,2090261990,cc,6490.0,2019-04-15 19:40:43+00:00,2143.0,2336,16
1883,35411070,2090261990,cash,0.0,2019-04-16 14:17:30+00:00,2104.0,2474,4
1884,35414562,2090261990,cc,8290.0,2019-04-16 18:07:37+00:00,3485.0,3697,16
1885,35420664,2090261990,cc,0.0,2019-04-16 22:09:43+00:00,4973.0,916,4
1886,35415077,2090262003,cash,4500.0,2019-04-16 18:37:47+00:00,3874.0,8940,4
1887,35416124,2090262003,cc,6300.0,2019-04-16 19:20:16+00:00,2605.0,10215,4
1888,35399327,2090262003,cash,0.0,2019-04-15 18:11:05+00:00,7831.0,7644,4
1889,35399352,2090262003,cash,0.0,2019-04-15 18:12:48+00:00,7834.0,5103,4
1890,35399593,2090262003,cash,3300.0,2019-04-15 18:24:29+00:00,1083.0,7159,4
1891,35414322,2090262003,cc,13080.0,2019-04-16 17:52:55+00:00,5310.0,24117,4
1892,35396053,2090262510,cash,2690.0,2019-04-15 14:42:29+00:00,1590.0,12675,16
1893,35396761,2090262510,cash,6276.0,2019-04-15 15:27:23+00:00,7907.0,2832,4
1894,35398749,2090262510,cash,0.0,2019-04-15 17:35:19+00:00,5287.0,14132,4
1895,35399029,2090262510,cash,338.0,2019-04-15 17:53:36+00:00,7362.0,10408,4
1896,35400273,2090262510,cc,12294.0,2019-04-15 18:56:43+00:00,2967.0,4563,16
1897,35400660,2090262510,cash,0.0,2019-04-15 19:12:17+00:00,7279.0,26222,4
1898,35416391,2090262510,cc,8796.0,2019-04-16 19:29:17+00:00,634.0,12255,4
1899,35416998,2090262510,cc,3300.0,2019-04-16 19:46:54+00:00,1827.0,11700,4
1900,35417114,2090262510,cash,3998.0,2019-04-16 19:50:41+00:00,6119.0,14471,4
1901,35417122,2090262510,cc,7680.0,2019-04-16 19:50:56+00:00,2200.0,13711,4
1902,35418519,2090262510,cc,6996.0,2019-04-16 20:34:30+00:00,3089.0,24979,4
1903,35418856,2090262510,cash,5990.0,2019-04-16 20:45:15+00:00,4449.0,24049,4
1904,35419222,2090262510,cc,5640.0,2019-04-16 20:58:16+00:00,2140.0,21165,4
1905,35419619,2090262510,cc,5298.0,2019-04-16 21:14:50+00:00,2712.0,7136,4
1906,35401163,2090262510,cc,6998.0,2019-04-15 19:28:46+00:00,2315.0,8038,4
1907,35401617,2090262510,cc,6996.0,2019-04-15 19:44:07+00:00,790.0,4365,4
1908,35401811,2090262510,cash,1638.0,2019-04-15 19:51:06+00:00,4601.0,5657,4
1909,35402305,2090262510,cc,7680.0,2019-04-15 20:07:52+00:00,462.0,1537,16
1910,35402397,2090262510,cc,12894.0,2019-04-15 20:11:01+00:00,2730.0,3354,4
1911,35403537,2090262510,cc,1298.0,2019-04-15 20:50:04+00:00,1823.0,5638,4
1912,35403822,2090262510,cc,1501.0,2019-04-15 21:00:52+00:00,900.0,6714,4
1913,35406228,2090262510,cash,78.0,2019-04-15 22:57:17+00:00,1961.0,4649,16
1914,35410563,2090262510,cash,1498.0,2019-04-16 13:54:47+00:00,913.0,334,4
